Feature,Importance
ap_hi,0.7485311233060792
age,0.13527230889933764
cholesterol,0.07403476930150847
bmi,0.018117775846338776
gluc,0.0070001615488091504
active,0.005126550687302332
weight,0.004974737912865457
pulse_pressure,0.003333564955937172
height,0.0027088843365561228
ap_lo,0.0009001232052656229
gender,0.0
smoke,0.0
alco,0.0
