Feature,Importance
ap_hi,0.37665852000369715
age,0.1854704545095514
ap_lo,0.15848694390877124
weight,0.09087703426014247
cholesterol,0.07639106343115294
height,0.0647468992772186
gluc,0.016095612762494396
active,0.011097228966992525
gender,0.009216471655146555
smoke,0.006227125330844883
alco,0.0047326458939877265
